iteration,spent_time
271,14.8130531311
272,14.8150930405
273,14.8232409954
274,14.8116831779
275,14.8000659943
276,14.8162641525
277,14.8138239384
278,14.8674340248
279,14.8316221237
281,14.7192080021
280,14.8486599922
282,14.800360918
283,14.825206995
284,14.8285961151
285,14.7973489761
286,14.8229298592
287,14.8372671604
288,14.8072180748
289,14.8909060955
290,14.8442080021
292,14.7724490166
291,14.8790171146
293,14.7991828918
294,14.7457158566
295,14.6233530045
297,14.5557968616
296,14.7052609921
298,14.6617250443
299,14.687972784
300,14.6883299351
301,14.7468218803
302,14.8858540058
303,14.859153986
304,14.9237771034
305,14.858232975
306,14.8321049213
307,14.6969051361
308,14.8764748573
309,14.9019181728
310,14.9841208458
311,15.0147578716
312,15.0977950096
313,15.1341700554
314,15.1159110069
315,15.0952858925
316,15.0938129425
317,15.1186971664
318,15.1127889156
319,15.1136291027
320,15.095416069
321,15.1286861897
322,15.099916935
323,15.0773448944
324,15.0444409847
325,15.024477005
326,15.0189540386
327,15.0079088211
328,15.0002920628
329,15.0205001831
330,15.0528860092
331,15.055574894
332,15.0876300335
333,15.100096941
334,14.9419600964
335,14.9129800797
336,14.899143219
337,15.0320768356
338,15.558093071
339,15.5630729198
340,15.625893116
341,15.5354249477
342,15.4888908863
343,15.4979650974
344,15.4818680286
345,15.4941709042
346,15.4904491901
347,15.4944050312
348,15.49969697
349,15.4956820011
350,15.4884281158
352,15.4405770302
351,15.578578949
353,15.5035960674
354,15.4854538441
355,15.4577388763
356,15.5488109589
357,15.5635859966
358,15.553976059
359,15.5624699593
360,15.5663201809
362,15.5195810795
361,15.6622719765
363,15.660987854
364,15.6527571678
365,15.6796219349
366,15.7048611641
367,15.6999018192
368,15.6870291233
369,15.6849629879
370,15.6804308891
371,15.6871061325
373,15.6141600609
372,15.742508173
374,15.6807081699
375,15.6833059788
376,15.6925039291
377,15.6983280182
378,15.7035319805
379,15.677282095
380,15.6724469662
381,15.6900200844
382,15.6872181892
383,15.6577160358
384,15.6843471527
385,15.7021288872
386,15.6505551338
387,15.6498279572
388,15.6757669449
389,15.6661550999
390,15.6513638496
391,15.6939749718
392,15.7119679451
393,15.7166199684
394,15.7044599056
395,15.721280098
396,15.7082657814
397,15.6728870869
398,15.6717059612
400,15.5737199783
399,15.917249918
401,16.2286810875
402,16.0836341381
