iteration,spent_time
114,63.782490015
115,63.7544910908
116,63.8754041195
117,63.7235949039
118,63.7828438282
119,63.6803348064
120,63.7981350422
121,63.7843699455
122,63.7808640003
123,63.8500049114
124,63.3519752026
125,63.3783049583
126,63.310131073
127,63.1324710846
128,63.4831008911
129,63.4975140095
130,63.5494010448
131,63.4910569191
132,62.9909548759
133,63.0480260849
134,63.1355090141
135,62.9599161148
136,63.1554749012
137,63.0558760166
138,63.1830179691
139,63.3014438152
140,63.2828230858
141,62.7603850365
142,62.2885980606
143,62.3943181038
144,62.3315110207
145,62.2678670883
146,61.4607701302
147,61.6087379456
148,60.7881097794
149,60.4786601067
150,61.0992119312
151,60.907075882
152,60.8491780758
153,60.9199090004
154,61.3925909996
155,62.1865441799
156,62.2382009029
157,62.041934967
158,62.1846179962
159,62.1964449883
160,61.9745700359
161,61.9215750694
162,62.0358920097
163,62.0556750298
164,62.131308794
165,62.0717489719
166,62.1575520039
167,62.1217288971
168,62.215711832
169,62.155973196
170,62.0174341202
171,62.4209980965
172,62.1402800083
173,62.2823691368
174,62.4344620705
175,62.3595218658
176,62.0415008068
177,61.9486479759
178,61.9134609699
179,61.8891251087
180,61.8946421146
181,62.2387518883
182,62.3108878136
183,62.2234389782
184,61.9185950756
185,62.0552358627
186,61.8868629932
187,61.9342708588
188,62.0712449551
189,61.8440408707
190,61.9845340252
191,61.8039798737
192,61.858479023
193,61.413410902
194,61.277233839
195,61.4007520676
196,61.2745349407
197,61.3982720375
198,61.4610488415
199,61.5505850315
200,61.7179870605
201,61.5991659164
202,61.2162108421
203,60.9641890526
204,60.973886013
205,60.9389250278
206,60.7256300449
207,61.5773580074
208,61.4764349461
209,61.3213889599
210,61.489937067
211,61.2951378822
212,61.3357479572
213,61.410531044
214,61.6993629932
215,61.2798318863
216,61.2697050571
217,61.3910529613
218,61.3775990009
219,61.5858910084
220,61.3738949299
221,61.3217580318
222,61.4581048489
223,61.4032371044
224,61.4936380386
225,61.4359629154
226,61.4550919533
227,61.43207407
228,61.1187551022
229,61.1780641079
230,61.1750040054
231,61.2277281284
232,61.3004579544
233,61.7738280296
234,61.8534240723
235,62.0167908669
236,61.8295960426
237,61.8826389313
238,61.9480168819
239,61.7444930077
240,61.8171730042
241,61.7849109173
242,62.1602909565
243,62.0989668369
244,62.1068730354
245,62.0135400295
246,62.1996481419
247,62.0161941051
248,61.9164350033
249,61.8867669106
250,62.0610489845
251,62.1298730373
252,62.0235819817
253,62.1740190983
254,61.4654130936
255,60.795732975
256,60.6941580772
257,60.6920070648
258,60.6488418579
259,60.5350148678
260,60.8500950336
261,61.3009591103
262,61.2025399208
263,61.1669719219
264,61.2055580616
265,61.1154859066
266,61.0288181305
267,61.3051609993
268,61.1227350235
269,61.3038518429
270,61.2268230915
271,61.2479491234
272,61.4922540188
273,61.3132860661
274,61.2636630535
275,61.2607359886
276,61.2712919712
277,61.3571939468
278,61.3661410809
279,61.3786220551
280,61.4917290211
281,61.0490221977
282,60.9085009098
283,60.9753811359
284,60.90731287
285,61.0435020924
286,61.5116500854
287,61.875234127
288,61.885269165
289,61.9764511585
290,61.8146159649
291,61.881455183
292,61.8376560211
293,61.7387261391
294,62.0483160019
295,61.9689130783
296,61.9414191246
297,61.8754031658
298,61.6525599957
299,61.8177850246
300,61.6500461102
301,61.8553590775
302,61.8037052155
303,61.9968559742
304,61.9605369568
305,61.928798914
306,62.0800378323
307,61.295799017
308,61.1130421162
309,61.3040421009
310,61.135890007
311,61.1622819901
312,61.6903178692
313,61.9410641193
314,61.5801010132
315,62.0010139942
316,61.9675719738
317,62.070939064
318,62.1459429264
319,61.8780059814
320,61.9166810513
321,61.9974379539
322,61.8072719574
323,61.9494590759
324,61.8718390465
325,61.9023821354
326,61.8551130295
327,62.2927179337
328,62.1759119034
329,62.2079808712
330,62.3335371017
331,62.2980079651
332,62.2786910534
333,61.6482310295
334,61.6162571907
335,61.5681891441
336,61.6835510731
337,61.6343379021
338,62.3631110191
339,62.4986009598
340,62.4794960022
341,62.4241261482
342,62.0502419472
343,61.9738998413
344,61.9852330685
345,62.0013020039
346,61.7880949974
347,61.9500200748
348,62.1431181431
349,62.3298869133
350,62.2106218338
351,62.0270760059
352,62.2428071499
353,61.9986951351
354,62.1914339066
355,62.069633007
356,62.0158648491
357,62.1381611824
358,62.0683948994
359,62.1301970482
360,61.937199831
361,61.4561200142
362,61.5633530617
363,61.5563671589
364,61.4183540344
365,62.1475379467
366,62.3389399052
367,62.0479180813
368,62.0015480518
369,62.0608007908
370,61.9654099941
371,61.8962299824
372,61.7570068836
373,61.8898689747
374,61.86459589
375,61.8640370369
376,61.8990290165
377,61.8734939098
378,61.8103539944
379,61.8967142105
380,61.8726868629
381,61.9533629417
382,62.1148049831
383,62.0033299923
384,62.3761200905
385,62.2978050709
386,62.4185738564
387,62.1131961346
388,62.1967082024
389,62.1759490967
390,62.3598189354
391,62.9041359425
392,62.8279161453
393,62.7860050201
394,62.766890049
395,62.3825221062
396,62.5820600986
397,62.6357660294
398,62.8215360641
399,62.6864490509
400,62.7141971588
401,62.6007380486
402,62.5488128662
403,62.3798439503
404,62.4616539478
405,62.551377058
406,62.4038660526
407,62.4710650444
408,62.6351587772
409,62.340610981
410,62.4314069748
411,62.475260973
412,62.0327780247
413,61.6476919651
414,61.6113879681
415,61.9046499729
416,61.8778450489
417,62.2641401291
